FNF_CIRCLE_SOUTH_BRIDGE_NAME |= 서클 동쪽 다리
FNFCONVERSATION_MARKET_STALL_MIDDLE_3 |= 시작 어디에?
FNFCONVERSATION_MARKET_STALL_MIDDLE_4 |= 나 배고파.
FNFCONVERSATION_MARKET_STALL_MIDDLE_4 |= 저 으르렁거리는 소리가 뭔지 궁금해.
FNFCONVERSATION_MARKET_STALL_MIDDLE_5 |= 이거 설치 좀 도와줄래?
FNFCONVERSATION_MARKET_STALL_MIDDLE_5 |= 마침내! 하하a!
FNFCONVERSATION_MARKET_STALL_MIDDLE_6 |= 이 캔버스 좀 도와줄래?
FNFCONVERSATION_MARKET_STALL_MIDDLE_6 |= 손이 두 개밖에 없어!
FNFCONVERSATION_MARKET_STALL_END_1 |= 약간의 광택제와 먼지만 뿌리면 끝이야!
FNFCONVERSATION_MARKET_STALL_END_1 |= 멋지네!
FNFCONVERSATION_MARKET_STALL_END_2 |= 멋진 건축이였어.
FNFCONVERSATION_MARKET_STALL_END_2 |= 응, 함께 만들어서 즐거웠어.
FNFCONVERSATION_MARKET_STALL_END_3 |= 계획이 완성되면 정말 좋아.
FNFCONVERSATION_MARKET_STALL_END_3 |= 우리는 정말 드림팀이야!
FNFCONVERSATION_MARKET_STALL_END_4 |= 하나만 더...
FNFCONVERSATION_MARKET_STALL_END_4 |= 참고용인가요, 아니면 실제 상태야?
FNFCONVERSATION_MARKET_STALL_END_5 |= 곧 오픈할 예정이지!
FNFCONVERSATION_MARKET_STALL_END_5 |= 단골이 되어줄게.
FNFCONVERSATION_MARKET_STALL_END_6 |= 잘 만들었어.
FNFCONVERSATION_MARKET_STALL_END_6 |= 지침이 도움이 되었어.
FNFCONVERSATION_MARKET_STALL_END_7 |= 너와 함께 만들어서 좋았어.
FNFCONVERSATION_MARKET_STALL_END_7 |= 그리고 내가 가장 많이 했지만 너도 고생했어.

FNFCONVERSATION_CRYPT_START_1 |= 으스스해 보여!
FNFCONVERSATION_CRYPT_START_1 |= 날 잡아! 내 말은, 망치 좀 잡아줘.
FNFCONVERSATION_CRYPT_START_2 |= 무거운 일이 되겠군.
FNFCONVERSATION_CRYPT_START_2 |= 저 돌은 무거워 보이는데.
FNFCONVERSATION_CRYPT_START_3 |= 안에 뭐가 들었을까?
FNFCONVERSATION_CRYPT_START_3 |= 클리어하면 알아낼 수 있어!
FNFCONVERSATION_CRYPT_MIDDLE_1 |= 아직도 소름이 돋아.
FNFCONVERSATION_CRYPT_MIDDLE_1 |= 네가 일하는 걸 지켜보는 나뿐이야.
FNFCONVERSATION_CRYPT_MIDDLE_2 |= 식은땀이 나네.
FNFCONVERSATION_CRYPT_MIDDLE_2 |= 옥수수에 땀을 흘리고 있어?
FNFCONVERSATION_CRYPT_MIDDLE_3 |= 허리가 좀 아파.
FNFCONVERSATION_CRYPT_MIDDLE_3 |= 저 돌들 그만 들지?
FNFCONVERSATION_CRYPT_MIDDLE_4 |= 이 문은 단단히 봉인되어 있어.
FNFCONVERSATION_CRYPT_MIDDLE_4 |= 지갑처럼.
FNFCONVERSATION_CRYPT_MIDDLE_5 |= 이 정도면 술 한잔 마셔야겠어.
FNFCONVERSATION_CRYPT_MIDDLE_5 |= 그리고 바지도 갈아입고.
FNFCONVERSATION_CRYPT_MIDDLE_6 |= 무슨 소리 들었어?
FNFCONVERSATION_CRYPT_MIDDLE_6 |= 음악 소리 같았어.
FNFCONVERSATION_CRYPT_MIDDLE_7 |= 안에 뭐가 들었을까?
FNFCONVERSATION_CRYPT_MIDDLE_7 |= 지하실이야. 맞춰봐.
FNFCONVERSATION_CRYPT_END_1 |= 문을 열기만 하면 끝이야!
FNFCONVERSATION_CRYPT_END_1 |= 할 수 있어.
FNFCONVERSATION_CRYPT_END_2 |= 이 문은 내 바지보다 더 꽉 잠겼어.
FNFCONVERSATION_CRYPT_END_2 |= 불편하게 들리네.
FNFCONVERSATION_CRYPT_END_3 |= 내가 좋아하는 직업은 아닌데, 이거.
FNFCONVERSATION_CRYPT_END_3 |= 그래도 우리 친구를 위해 잘 해결해줘야겠어.
FNFCONVERSATION_CRYPT_END_4 |= 안에 유령이 없어야 할 텐데!
FNFCONVERSATION_CRYPT_END_4 |= 음악 유령은 최악이겠지!
FNFCONVERSATION_CRYPT_END_5 |= 공개할 준비가 거의 다 됐어.
FNFCONVERSATION_CRYPT_END_5 |= 리본을 가져올게.

FNFCONVERSATION_GODDESS_STATUE_START_1 |= 누가 이런 짓을 했지?
FNFCONVERSATION_GODDESS_STATUE_START_1 |= 고쳐야 해!
FNFCONVERSATION_GODDESS_STATUE_START_2 |= 우리 여신을 축복해 줘.
FNFCONVERSATION_GODDESS_STATUE_START_2 |= 여신들이 좋아하실 거야.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_1 |= 돌이 깨지지 않도록 조심해.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_1 |= 이 직업은 사실 무서운 직업이야.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_2 |= 저기 아름다운 조각이 있네.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_2 |= 고마워! 나는 돼지 관절을 연습해.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_3 |= 조각이 잘 되고 있어.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_3 |= 건배! 든든한 손을 잡자.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_4 |= 우리가 자랑스럽게 만들어줄게.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_4 |= 장인 정신이 깃든 작품이지.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_5 |= 이걸 고치면 좋겠어.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_5 |= 빠른 여행자에게도 편리하지!
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_6 |= 느슨해지지 마! 여신이 지켜보고 있다고!
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_6 |= 잠깐 졸았어!
FNFCONVERSATION_GODDESS_STATUE_END_1 |= 멋지네.
FNFCONVERSATION_GODDESS_STATUE_END_1 |= 원본 에셋과 똑같네.
FNFCONVERSATION_GODDESS_STATUE_END_2 |= 그 안에 힘이 느껴져.
FNFCONVERSATION_GODDESS_STATUE_END_2 |= 네가 먹은 게 바로 그거야.
FNFCONVERSATION_GODDESS_STATUE_END_3 |= 정말 멋진 작품이네.
FNFCONVERSATION_GODDESS_STATUE_END_3 |= 잘했어.
FNFCONVERSATION_GODDESS_STATUE_END_4 |= 여행 비트는 어떻게 작동해?
FNFCONVERSATION_GODDESS_STATUE_END_4 |= 껐다가 다시 켜?
FNFCONVERSATION_GODDESS_STATUE_END_5 |= 아름다워!
FNFCONVERSATION_GODDESS_STATUE_END_5 |= 고마워! 아, 내가 아니라 여신상말야.

FNFCONVERSATION_STONE_BRIDGE_START_1 |= 대단한 건축이 될 거야.
FNFCONVERSATION_STONE_BRIDGE_START_1 |= 정말 힘든 작업이었어.
FNFCONVERSATION_STONE_BRIDGE_START_2 |= 높이를 좋아하면 도움이 될 것 같네.
FNFCONVERSATION_STONE_BRIDGE_START_2 |= 난 폭이 무서워!
FNFCONVERSATION_STONE_BRIDGE_START_3 |= 돌이 충분해?
FNFCONVERSATION_STONE_BRIDGE_START_3 |= 응, 발판도 충분해.
FNFCONVERSATION_STONE_BRIDGE_START_4 |= 아주 편리할 거야.
FNFCONVERSATION_STONE_BRIDGE_START_4 |= 누군가 고칠 때가 됐지.
FNFCONVERSATION_STONE_BRIDGE_START_5 |= 대단한 프로젝트야!
FNFCONVERSATION_STONE_BRIDGE_START_5 |= 우린 할 수 있어! 믿어봐!
FNFCONVERSATION_STONE_BRIDGE_START_6 |= 우리가 사랑을 위해 하는 일들.
FNFCONVERSATION_STONE_BRIDGE_START_6 |= 다리를 만드는 건 좋은 일이야.
FNFCONVERSATION_STONE_BRIDGE_START_7 |= 힘내!
FNFCONVERSATION_STONE_BRIDGE_START_7 |= 노력 중!
FNFCONVERSATION_STONE_BRIDGE_START_8 |= 저 비계를 올려보자!
FNFCONVERSATION_STONE_BRIDGE_START_8 |= 그리고 아래를 내려다보지 마.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_1 |= 난 물 흐르는 소리가 좋아.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_1 |= 그 위에 매달려 있지 않을 때면 마음이 편안해져.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_2 |= 돌을 잃어버렸어.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_2 |= 그럼 다이어트는 잘 되고 있어?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_3 |= 이 물은 문제가 있어.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_3 |= 그래서 다리가 필요해.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_4 |= 일하면서 노래 한 곡 부르자.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_4 |= 그러지 말자.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_5 |= 저 돌 조심해.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_5 |= 왜? 뭐 하는 거야?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_6 |= 쉬어야겠어.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_6 |= 악인에게는 휴식이 없다!
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_7 |= 이 정도면 충분할까?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_7 |= 그래야지!
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_8 |= 너와 함께해서 즐거워.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_8 |= 우리 우정을 쌓아가고 있지?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_9 |= 좀 더 나은 구조가 필요해.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_9 |= 화이트보드나 판자 같은 건 어떨까?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_10 |= 캐릭터가 만들어진다.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_10 |= 너는 캐릭터야.
FNFCONVERSATION_STONE_BRIDGE_END_1 |= 드디어! 거의 끝났어!
FNFCONVERSATION_STONE_BRIDGE_END_1 |= 우리 함께 잘 해냈어.
FNFCONVERSATION_STONE_BRIDGE_END_2 |= 멋지게 공개 될 거야.
FNFCONVERSATION_STONE_BRIDGE_END_2 |= 저 리본에는 더 큰 가위가 필요해!
FNFCONVERSATION_STONE_BRIDGE_END_3 |= 곧 동물들이 건너는 모습을 볼 수 있을 거야.
FNFCONVERSATION_STONE_BRIDGE_END_3 |= 재밌겠네.
FNFCONVERSATION_STONE_BRIDGE_END_4 |= 거의 다 왔어.
FNFCONVERSATION_STONE_BRIDGE_END_4 |= 다듬는 단계만 남았어.
FNFCONVERSATION_STONE_BRIDGE_END_5 |= 버그 수정 중인가?
FNFCONVERSATION_STONE_BRIDGE_END_5 |= 그래. 저 돌에서 벌레를 떼어내줘.
FNFCONVERSATION_STONE_BRIDGE_END_6 |= 브리지 게임을 즐겨볼까?
FNFCONVERSATION_STONE_BRIDGE_END_6 |= 오! 박수!
FNFCONVERSATION_STONE_BRIDGE_END_7 |= 놀라운 구조물이야.
FNFCONVERSATION_STONE_BRIDGE_END_7 |= 우리 스스로 자랑스러워.
FNFCONVERSATION_STONE_BRIDGE_END_8 |= 피곤했지만 멋졌어.
FNFCONVERSATION_STONE_BRIDGE_END_8 |= 다들 정말 잘해줬어.
FNFCONVERSATION_STONE_BRIDGE_END_9 |= 수고했어! 우리 중 누구도 공학자는 아니였지.
FNFCONVERSATION_STONE_BRIDGE_END_9 |= 그렇기 때문에 계속 유지되길 바라.

FNFCONVERSATION_GREENHOUSE_START_1 |= 크래킹을 시작하자. 유리 말고.
FNFCONVERSATION_GREENHOUSE_START_1 |= 그래, 조심해!
FNFCONVERSATION_GREENHOUSE_START_2 |= 이건 확실히 섬세한 작업이야.
FNFCONVERSATION_GREENHOUSE_START_2 |= 그래서 두꺼운 장갑을 가져왔어.
FNFCONVERSATION_GREENHOUSE_START_3 |= 계량봉 있는 사람?
FNFCONVERSATION_GREENHOUSE_START_3 |= 줄의 길이가 얼마나 되는거야?
FNFCONVERSATION_GREENHOUSE_START_4 |= 아름다움과 실용성을 겸비한 물건이네.
FNFCONVERSATION_GREENHOUSE_START_4 |= 쓸모없다고 한 줄 알았는데.
FNFCONVERSATION_GREENHOUSE_START_5 |= 친구를 사귀어 친구를 만들어.
FNFCONVERSATION_GREENHOUSE_START_5 |= 그게 바로 그 방법이야!
FNFCONVERSATION_GREENHOUSE_MIDDLE_1 |= 벌써 허브차 한 잔 마셔야겠어.
FNFCONVERSATION_GREENHOUSE_MIDDLE_1 |= 쐐기풀 차를 어떻게 마시는지 모르겠어.
FNFCONVERSATION_GREENHOUSE_MIDDLE_2 |= 이 창문은 창문이야.
FNFCONVERSATION_GREENHOUSE_MIDDLE_2 |= 저기서 농담이 터지네.
FNFCONVERSATION_GREENHOUSE_MIDDLE_3 |= 이 유리는 조심해야 해.
FNFCONVERSATION_GREENHOUSE_MIDDLE_3 |= 깨지기 일보직전이야.
FNFCONVERSATION_GREENHOUSE_MIDDLE_4 |= 잘 성장하고 있어.
FNFCONVERSATION_GREENHOUSE_MIDDLE_4 |= 하하!
FNFCONVERSATION_GREENHOUSE_MIDDLE_5 |= 너와 함께 일하는 게 좋아. 실력이 대단하네!
FNFCONVERSATION_GREENHOUSE_MIDDLE_5 |= 나는 확실히 유리공예가 맞아.
FNFCONVERSATION_GREENHOUSE_END_1 |= 내 인생에서 이 구조가 필요했어.
FNFCONVERSATION_GREENHOUSE_END_1 |= 계속 성장하길 바라.
FNFCONVERSATION_GREENHOUSE_END_2 |= 여긴 정말 덥네!
FNFCONVERSATION_GREENHOUSE_END_2 |= 알아! 토마토처럼 빨갛게 달아올랐어!
FNFCONVERSATION_GREENHOUSE_END_3 |= 유리만 닦으면 돼!
FNFCONVERSATION_GREENHOUSE_END_3 |= 오늘은 잘했어.

FNFCONVERSATION_FAE_GREENHOUSE_START_1 |= 흥미로운 일이었어, 이번엔.
FNFCONVERSATION_FAE_GREENHOUSE_START_1 |= 그래. 이상한 디자인이네!
FNFCONVERSATION_FAE_GREENHOUSE_START_2 |= 가볼까?
FNFCONVERSATION_FAE_GREENHOUSE_START_2 |= 그러자. 어디서부터 시작할까?
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_1 |= 잘 진행되고 있어.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_1 |= 동의해. 간식 시간?
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_2 |= 좋은 시간 보내고 있지.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_2 |= 그런 개념이 다 사라졌어.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_3 |= 거기서 잘 지내?
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_3 |= 나쁘지 않네, 고마워. 어딘가에 도착했어.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_4 |= 저 유리창 조심해.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_4 |= 정말 무겁네!
FNFCONVERSATION_FAE_GREENHOUSE_END_1 |= 이거 정말 좋아 보이는데.
FNFCONVERSATION_FAE_GREENHOUSE_END_1 |= 알아! 다들 좋아할 거야.
FNFCONVERSATION_FAE_GREENHOUSE_END_2 |= 이상한 구조지만 아름다워.
FNFCONVERSATION_FAE_GREENHOUSE_END_2 |= 아주 오 파에스럽네, 무슨 뜻인지 모르겠지만.
FNFCONVERSATION_FAE_GREENHOUSE_END_3 |= 이걸 끝내고 목욕을 해야겠어.
FNFCONVERSATION_FAE_GREENHOUSE_END_3 |= 두 개가 필요해!
FNFCONVERSATION_FAE_GREENHOUSE_END_4 |= 리본이 있어?
FNFCONVERSATION_FAE_GREENHOUSE_END_4 |= 저것 밑에 있을 거야.

FNFCONVERSATION_ALTAR_START_1 |= 금방 끝날 거야.
FNFCONVERSATION_ALTAR_START_1 |= 그러길 바랄게. 할 일이 있어서.
FNFCONVERSATION_ALTAR_START_2 |= 멋질 거야.
FNFCONVERSATION_ALTAR_START_2 |= 그리고 아주 유용할 거야!
FNFCONVERSATION_ALTAR_MIDDLE_1 |= 아야! 발에 돌을 떨어뜨렸어.
FNFCONVERSATION_ALTAR_MIDDLE_1 |= 조심해, 서투른 놈아.
FNFCONVERSATION_ALTAR_MIDDLE_2 |= 내 조각 솜씨가 좋아지고 있어.
FNFCONVERSATION_ALTAR_MIDDLE_2 |= 그래, 그런 것 같아. 멋지네.
FNFCONVERSATION_ALTAR_MIDDLE_3 |= 멋질 거야.
FNFCONVERSATION_ALTAR_MIDDLE_3 |= 정말 우리 여신에 걸맞군.
FNFCONVERSATION_ALTAR_MIDDLE_4 |= 어떻게 지내?
FNFCONVERSATION_ALTAR_MIDDLE_4 |= 그냥 이 부분을 깎고 있어.
FNFCONVERSATION_ALTAR_END_1 |= 아주 좋아 보이네!
FNFCONVERSATION_ALTAR_END_1 |= 오늘 정말 잘했어.
FNFCONVERSATION_ALTAR_END_2 |= 다른 건 제단하지 마. 완벽해!
FNFCONVERSATION_ALTAR_END_2 |= 페인트만 조금 칠하면 돼.
FNFCONVERSATION_ALTAR_END_3 |= 이 제단을 축복해 주세요.
FNFCONVERSATION_ALTAR_END_3 |= 그리고 우리를 축복해 주세요!

FNFCONVERSATION_CHICKEN_COOP_START_1 |= 해보자!
FNFCONVERSATION_CHICKEN_COOP_START_1 |= 그래!
FNFCONVERSATION_CHICKEN_COOP_START_2 |= 크래킹을 시작할게.
FNFCONVERSATION_CHICKEN_COOP_START_2 |= 말장난이었아?
FNFCONVERSATION_CHICKEN_COOP_MIDDLE_1 |= 못이 더 필요해.
FNFCONVERSATION_CHICKEN_COOP_MIDDLE_1 |= 방금 잘랐어.
FNFCONVERSATION_CHICKEN_COOP_MIDDLE_2 |= 보드 끝났어.
FNFCONVERSATION_CHICKEN_COOP_MIDDLE_2 |= 하하! 좋은 말장난을 좋아하지.
FNFCONVERSATION_CHICKEN_COOP_END_1 |= 거의 다 됐어.
FNFCONVERSATION_CHICKEN_COOP_END_1 |= 멋지네!
FNFCONVERSATION_CHICKEN_COOP_END_2 |= 닭들이 좋아할 거야.
FNFCONVERSATION_CHICKEN_COOP_END_2 |= 닭들이 미학을 판단하는 건지 모르겠네.

시릴Intro |= 안녕하세요. 제 이름은 시릴이고, 이 초라한 비상 대피소의 서기, 비서, 관리자, 진행자 또는 여러분이 원하는 명칭으로 부르세요. 핸드북에 있는 이곳의 규칙을 준수해 주세요. 핸드북을 보려면 N1-CE-2CU 양식이 필요합니다.
시릴Intro |= 대피소가 뭐냐고 물어보시는 것 같은데요? 의무 담당자로서 말씀드리겠습니다!
시릴Intro |= 이 건물은 원래 마을 회관이었지만, 홉의 공격이 끔찍하게 증가하면서 피난민들을 수용하기 위해 용도가 변경되었습니다.
시릴Intro |= 저 못된 괴물들 때문에 누군가의 집이 망가졌다면 고쳐질 때까지 여기서 지낼 수 있어요.
시릴Intro |= 생각해보니 꽤 쓸모 있어 보이는데, 자원해서 도와주고 함께 작업반을 꾸려서 집을 고쳐야겠어요.
시릴Intro |= 친절한 마을 주민들이 부서진 나무와 깨진 창문을 수리하는 것을 기꺼이 도와줄 거예요. 파손된 건물 앞에 있는 푯말을 이용하면 됩니다.
시릴Intro |= 캔들위치 마을, 아웃레인, 나이다의 영광에 지부가 있으니 언제든지 들러서 인사하고 도움이 필요한 사람이 있는지 살펴보세요.
시릴Intro |= 안녕히 계세요, 다음에는 발을 닦아주세요.
CyrilIntroRepeat |= 다시 인사드립니다. 저는 이 홉과 무서운 괴물 소동이 끝날 때까지 이곳과 다른 지점에서 일하고 있습니다. 저는 권능의 힘에 의해 이 임무를 부여받았습니다. 하루 종일 양식을 관리하고, 파일을 정리하고, 시트를 바꾸고, 화를 내는 일을 하면서 보내는 시간이 정말 즐겁습니다.
CyrilIntroRepeat |= 앵그리워드? 아주 어려운 십자말풀이 같은 건데... 다른 업무가 없으면 끝내려고 노력 중이에요.
CyrilIntroRepeat |= 안녕하세요!
CyrilIntroShort |= 지금은 말할 수 없어요, 심오한 퍼즐을 풀고 있거든요. 도움이 필요한 사람이 있는지 살펴보는 게 어때요?
