WFIntroT1 |= 여기 있었구나!
NPCStory_Like_MoLawnT4 |= 창백한 달빛 속에서 페이들과 함께 춤을 추면서 내가 젊게 지낼 수 있도록 네 생명력을 그들에게 주겠어?
NPCStory_Like_MoLawnT5 |= 응, 사랑을 위해서라면 뭐든 할 수 있어.
NPCStory_Like_MoLawnT6 |= 내가 만든 미트로프를 먹을거야?
NPCStory_Like_MoLawnT7 |= 사랑을 위해서라면 뭐든 할 수 있지만, 그런 건 안 할 거야.
NPCStory_Friendly_StarSapphireT1 |= 당신은 정말 영감을 주는 사람이에요, 별아, 내 사랑.
NPCStory_Friendly_StarSapphireT2 |= 이 노래는 온 우주에서 가장 위대한 당신을 위해 썼어요.
NPCStory_Friendly_StarSapphireT3 |= 그녀는 가장 분홍색의 머리카락을 가졌어.
NPCStory_Friendly_StarSapphireT4 |= 어린 시절이 생각나네... 사탕 토끼들
NPCStory_Friendly_StarSapphireT5 |= 모든 게 보이드의 하늘처럼 빛나던 곳
NPCStory_Friendly_StarSapphireT6 |= 가끔 그녀의 눈빛을 보면
NPCStory_Friendly_StarSapphireT7 |= 나는... 보라색 안개에 빠지고
NPCStory_Friendly_StarSapphireT8 |= 너무 오래 쳐다보면 울컥해서 무너질 것 같아
NPCStory_Friendly_StarSapphireT9 |= Woooahh Ohhh sweet Star Sapphire!
NPCStory_Like_RavenLoonT1 |= 그리고 문이 삐걱거리며 천천히 열리더니...
NPCStory_Like_RavenLoonT2 |= 오오오! 그 다음엔 어떻게 해?
NPCStory_Like_RavenLoonT3 |= 번개가 번쩍였고 문간에 서 있던 것은 밥 아저씨였어.
NPCStory_Like_RavenLoonT4 |= 어서! 도끼로 그녀의 목을 자를 준비라도 했어?
NPCStory_Like_RavenLoonT5 |= 아니야! 밥 아저씨가 촛불 속으로 들어왔고 그녀는 그가 들고 있는 걸 봤어...
NPCStory_Like_RavenLoonT6 |= 칼? 잘린 머리?
NPCStory_Like_RavenLoonT7 |= 소시지!
NPCStory_Like_RavenLoonT8 |= 에?
NPCStory_Like_RavenLoonT9 |= 하지만 평범한 소시지가 아니었어! 죽음의 소시지였어!
NPCStory_Like_RavenLoonT10 |= 그걸로 그녀를 죽인 거야?
NPCStory_Like_RavenLoonT11 |= 아니, 너무 익은 소시지였어.
NPCStory_Like_RavenLoonT12 |= 이야기를 좀 더 가다듬어야겠어, 루이스.
NPCStory_Friendly_NedScrumpyT1 |= 다음 손님 오세요!
NPCStory_Friendly_NedScrumpyT2 |= 멋진 황금 삽 하나 줘.
NPCStory_Friendly_NedScrumpyT3 |= 오늘은 어떻게 도와드릴까요?
NPCStory_Friendly_NedScrumpyT4 |= 모든 상품을 다 사고 싶어!
NPCStory_Friendly_NedScrumpyT5 |= 오늘 무슨 문제가 있으신가요?
NPCStory_Friendly_NedScrumpyT6 |= 종기가 생겼어...
Day6PicnicT1 |= 피크닉하기에 정말 아름다운 곳이에요. 생일 축하해요, 빌 삼촌! 저희를 초대해 주셔서 정말 감사해요.
Day6PicnicT2 |= 오, 괜찮아! 두 사람이 함께해서 정말 좋았단다. 오늘 같은 날을 더욱 특별하게 만들어주는구나.
Day6PicnicT3 |= 네 이모와 함께 이곳에 오곤 했었지. 폭포 소리를 들으면 이모는 금방 졸곤 했단다. 그 덕분에 소풍 음식을 더 많이 먹을 수 있었지!
Day6PicnicT4 |= 이모한테 무슨 일이 있었어요, 빌 삼촌?
Day6PicnicT5 |= 그 얘긴 할 수 없어. 매일 보고 싶고, 그때 일을 생각하면 아직도 속이 뒤집어지는구나.
Day6PicnicT6 |= 오 정말 죄송해요, 빌 삼촌
Day6PicnicT7 |= 오, 괜찮단다! 이제 다 잊고 이 멋진 음식, 좋은 장소, 멋진 친구들에게 집중하자.
Day6PicnicT8 |= 그럼, 너희가 있었던 슈에 대해 질문이 있는데...
Day6PicnicT9 |= 이 연못에서 금덩어리를 본 게 분명해요!
Day6PicnicT10 |= 흠. 조심하렴. 어린 코인테일일 수도 있고, 더 심하면 머킨일 수도 있단다.
Day6PicnicT11 |= 머킨이 뭔데요?
Day6PicnicT12 |= 네가 금을 움켜쥐기 위해 손을 뻗도록 유혹하는 불쾌한 작은 페이지!
Day6PicnicT13 |= 끔찍하네요!
Day6PicnicT14 |= 내 민들레가 공 위에 있다면 이제 집에 갈 시간이야! 짐을 싸서 출발하자꾸나.
Day6PicnicT15 |= 멋진 오후와 생일이었어, 고맙구나. 
Day6PicnicT16 |= 만세! 집에서 또 만나요, 게으름뱅이들!
RootmotherIntroT1 |= 흠흠. 넌 누구야? 내 자식이야? 내 자식이라고 하기엔 너무 연약해 보이는군.
RootmotherIntroT2 |= 다들 어디 있지? 네 뒤에 숨어 있니? 오, 맙소사! 내 아이들이 또 도망쳤어! 정말 장난꾸러기 새싹들이야.
RootmotherIntroT3 |= 할머니를 도와서 애들 좀 찾아줄래?
RootmotherIntroT4 |= 나는 루트마더고, 초록색 아이들은 다 자랄 때까지 나와 가까이서 놀아.
RootmotherIntroT5 |= 여기저기서, 이 구역이나 너의 영역에서  찾을 수 있을거야. 장난꾸러기 새싹들!
RootmotherIntroT6 |= 가능하다면 열 명을 모두 찾아주렴. 그럼 내가 상을 주마, 부드러운 녀석아.
RootmotherIntroT7 |= 오, 저 못된 새싹들! 으으으으
NPCStory_Intro_MelanieJuggT1 |= 언젠가 이 모든 것이 너의 것이 될 거다. 모든 숙성된 술통. 폭행당한 모든 의자. 술로 얼룩진 테이블. 톱밥 한 톨도 내가 자연으로 돌아가면 모두 너의 것이야.
NPCStory_Intro_MelanieJuggT2 |= 대신 유니콘을 주면 안 돼요, 아빠?
NPCStory_Intro_MelanieJuggT3 |= 호 호! 재밌구나! 진짜 유니콘이라. 물론, 이 펍의 이름을 유니콘으로 바꾼다면 모를까, 그렇지 않다면 불가능하겠지!
NPCStory_Intro_MelanieJuggT4 |= 무슨 냄새예요, 아빠?
NPCStory_Intro_MelanieJuggT5 |= 행복한 사람들과 좋은 환호의 냄새지! 좋은 술. 좋은 동료. 좋은 노래.
NPCStory_Intro_MelanieJuggT6 |= 병든 냄새가 나요, 아빠.
NPCStory_Intro_MelanieJuggT7 |= 숨을 들이마셔 보렴! 이게 바로 행복의 냄새야!
NPCStory_Intro_MelanieJuggT8 |= 너무 웃겨요, 아빠.
NPCStory_Intro_MelanieJuggT9 |= 익숙해질 거다. 자, 그럼 아침 먹기 전에 한 잔 마셔야겠군. 코를 따뜻하게 하려면말이야...
NPCStory_Like_LewisFlushingT1 |= 하늘로 날아가고 싶지만 그럴 수가 없어요.
NPCStory_Like_LewisFlushingT2 |= 그럴 수 있어, 루이스.
NPCStory_Like_LewisFlushingT3 |= 난 못해요.
NPCStory_Like_LewisFlushingT4 |= 루이스! 저녁 식사가 준비되었단다! 루이스스스스!
NPCStory_Like_LewisFlushingT5 |= 가요, 엄마!
NPCStory_Love_JacobCrackleT1 |= 내가 생각하는 게 그게 맞는 걸까? 내 심지에 불을 붙이고 날 촛불이라고 불러! 모그호그 맥이야! 뻐꾸기 숲에!
NPCStory_Love_JacobCrackleT2 |= 잠 좀 자, 이 위엄 있는 생명체야!
NPCStory_Love_RakeGrassbeardT1 |= 죄송해요 엄마. 아빠도 죄송해요. 내가 도와줬어야 했는데 그 할망들을 죽였어야했는데.
NPCStory_Love_RakeGrassbeardT2 |= 난 그저 네가 시장에서 도와준 날 자랑스러워하길 바랬어. 난 너희 둘을 보호하기 위해 집에 있었어야 했어.
NPCStory_Love_RakeGrassbeardT3 |= 그 할망들은 절대 못 빠져나갈 거야, 맹세해.

ParentDream3T1 |= 돌아가라, 짐승아!
ParentDream3T2 |= 아아아아아아! 잡았어, 메이브! 이빨이 너무 날카로워...
ParentDream3T3 |= 알룬! 누군가 우리를 도와주세요!
ParentDream3T4 |= 안돼-알룬! 나를 잡았어. 누군가 도와주세요! 발톱이 너무 길어...
ParentDream3T5 |= 비명소리야! 끔찍한 괴물이 다시 왔어!
ParentDream3T6 |= 아아아!
ParentDream3T7 |= 우오오오!
ParentDream3T8 |= 끔찍하군! 정말 끔찍한 죽음이야! 당장 두 아이를 안전한 곳으로 데려가야겠어. 오, 불쌍한 영혼들. 난 너무 늙어서 너희를 돌봐줄 수 없지만 아주 친절한 아주머니를 알고 있단다. 이리 오렴, 이 불쌍하고 작고 여린 꼬마들아. 안전하게 데려다주마.

RootmotherOutroT1 |= 흐음? 흐으으음? 흐으으으음!
RootmotherOutroT2 |= 내 새싹들! 오, 내 사랑들! 너희를 찾았구나.
RootmotherOutroT3 |= 넌 정말 친절하고 부드러운 녀석이야.
RootmotherOutroT4 |= 내가 너에게 주는 선물이지? 내 뿌리에 뭐가 있는지 보자...
RootmotherOutroT5 |= 이게 쓸모가 있을지도 모르지? 예전에 누가 네 왕국의 나무 구멍에 숨겨놨었지.
RootmotherOutroT6 |= 내 뿌리는 모두 부드러운 것에 닿아 있어.
RootmotherOutroT7 |= 자, 얘들아, 친절한 부드러운 것에게 고맙다고 말하고 장난꾸러기 새싹들은 다시는 도망치지 말아라!
Day9DreamT1 |= 우리는 너를 알고 있어. 우리는 너의 잠재력을 볼 수 있어. 타고난 재능을 발휘해봐. 우리와 함께라면 우주를 탐험할 수 있어.
Day9DreamT2 |= 시간은 너의 모든 변덕에 따라 바뀔거야. 퀼은 별처럼 빛나는 너의 것이 되겠지.
Day9DreamT3 |= 우리가 너를 지켜볼 거야. 지켜보고 있어. 미리어를 깊이 들여다보고 우리를 찾아봐...
NedDay14T1 |= 이 행운의 토끼! 헤럴드를 선택하셨네요! 그냥 와서 잘했다고 말해주고 싶었어요.
NedDay14T2 |= <VAR1>이 속상해하는 걸 봤지만 그들은 돌아올 거에요. 원래 그런 거잖아요.
NedDay14T3 |= 언젠가 헤럴드가 되고 싶어요. 정말 큰 영광이죠. 오팔 내부를 보고 싶어요.
NedDay14T4 |= 어쨌든 모두가 당신을 자랑스러워하고 있고 새로운 시각으로 당신을 본다고 말하고 싶었어요.
NedDay14T5 |= 이만 가볼게요, 저녁 시간이에요. 오늘 밤 하늘이 좀 이상하긴 하지만 좋은 예감이 들어요.
NedDay14T6 |= 조심하세요!
NPCStory_Intro_LucyArrowsT1 |= 이쪽으로. 오 안녕, 오 안녕.
NPCStory_Intro_LucyArrowsT2 |= 퀼에 저런 문이 있었나?! 저 문으로 들어오는거야?
NPCStory_Intro_LucyArrowsT3 |= 아, 안녕.
NPCStory_Intro_LucyArrowsT4 |= 아 안녕.
NPCStory_Intro_LucyArrowsT5 |= 이제 쇼핑을 하러 갈거야.
LucyArrowsStoryOutroT1 |= 어머나! 노움이야! 진짜 작은 노움이야! 만나게 되어 영광이에요! 제 이름은 루시 애로우즈에요.
LucyArrowsStoryOutroT2 |= 하고 싶은 질문이 너무 많아!
LucyArrowsStoryOutroT3 |= ... 정말 이상하게 들려. 마치 네가 지어낸 것 같아. 모자를 쓴 키 작은 노인이 아니라 진짜 노움이 맞아?
LucyArrowsStoryOutroT4 |= 어쨌든 대화해 주어서 고마워요. 이제 노움에 대한 집착이 사라진 것 같아!
PottAdultIntroT1 |= 집에 온 걸 환영해, 꿈꾸는 자, 내 이름은 팟이야, 우리의 즐거웠던 시간을 기억해?
PottAdultIntroT2 |= 오래전, 네가 잠들었을 때 난 너에게 깊은 질문을 했었지.
PottAdultIntroT3 |= 혈육을 잃었지만 슬퍼하지 마, 유산은 아직 오지 않았어.
PottAdultIntroT4 |= 농장은 네 것이고 나는 네 친구야. 나는 난로와 침대의 먼지를 털고 고칠거야.
PottAdultIntroT5 |= 다음은 뭘할까? \n문을 봤으니 찾아볼래?
PottAdultIntroT6 |= 북쪽 문이 손짓하고, 바깥 세상에는\n 많은 모험이 기다리고 돼지를 탈 수도 있지.
PottAdultIntroT7 |= 5가지 기술을 배우고, 빠르게 해내자.\n다리를 만들고 꿈을 이루어보자.
PottAdultIntroT8 |= 또 친구, 가족과 함께\n 오래도록 지속되는 유대 관계를 만들면 작업을 도와줄거야.
PottAdultIntroT9 |= 하지만 먼저 킨시드를 얻었으니 썩지 않도록 지금 심자.
PottAdultIntroT10 |= 나무를 키우고 뿌리를 깊게 내려 후손에게 물려줄 유산을 남겨봐.
KynseedPlantingT1 |= 킨씨앗을 심었습니다! 오, 즐거운 시간! 이제 내 작은 시를 들어보세요.
KynseedPlantingT2 |= 문을 지나 조곤 사부를 찾아가면 허버트가 기다려요.
KynseedPlantingT3 |= 사부님은 중요한 기술을 가르쳐 주실 겁니다. 칼날의 기술과 살상법을 가르쳐 주실 거에요.
KynseedPlantingT4 |= 그 후에 길을 알려줄 테니 어서 가세요! 어서 가세요!
PottINTRO |= 다음은 무엇일 것 같아?\문을 봤으니 찾아라?\n북문이 손짓하면 바깥세상이 펼쳐지지.\n돼지를 타고 많은 모험을 찾아떠나봐.
PottINTRO |= 5가지 기술을 배우고 빠르게 일해봐.\n다리를 건설하고 고치려는 꿈을 이루고.\n또 지속적인 유대 관계를 구축하고 \n친구 및 가족과 함께 작업을 도와주세요.
AdoptionInLevelT1 |= 저를 뽑아주셔서 감사합니다!
